Site ID,Latitude (degrees),Longitude (degrees),Start Year,End Year
AR-TF1,-54.9733,-66.7335,2016,2018
AR-TF2,-54.8269,-68.4549,2016,2018
BR-CST,-7.9682,-38.3842,2014,2015
BR-Npw,-16.498,-56.412,2013,2017
BR-Sa1,-2.8567,-54.9589,2002,2011
BR-Sa3,-3.018,-54.9714,2000,2004
CA-ARB,52.695,-83.9452,2011,2015
CA-ARF,52.7008,-83.955,2011,2015
CA-BOU,50.5244,-63.2064,2018,2020
CA-Ca1,49.8673,-125.3336,1996,2010
CA-Ca2,49.8705,-125.2909,1999,2010
CA-Ca3,49.5346,-124.9004,2001,2022
CA-Cbo,44.3167,-79.9333,1994,2020
CA-CF1,58.6658,-93.83,2007,2008
CA-CF2,58.6658,-93.83,2008,2011
CA-Cha,45.8847,-67.3569,2004,2005
CA-DB2,49.119,-122.9951,2019,2020
CA-DBB,49.1293,-122.9849,2014,2020
CA-DSM,49.0887,-122.8954,2022,2022
CA-ER1,43.6405,-80.4123,2015,2021
CA-Gro,48.2167,-82.1556,2003,2014
CA-LP1,55.1119,-122.8414,2007,2022
CA-MA1,50.1645,-97.8762,2009,2011
CA-MA2,50.171,-97.8762,2009,2011
CA-MA3,50.1774,-97.8686,2009,2011
CA-Man,55.8796,-98.4808,1994,2008
CA-Na1,46.4722,-67.1,2003,2005
CA-NS1,55.8792,-98.4839,2001,2005
CA-NS2,55.9058,-98.5247,2001,2005
CA-NS3,55.9117,-98.3822,2001,2005
CA-NS4,55.9144,-98.3806,2001,2005
CA-NS5,55.8631,-98.485,2001,2005
CA-NS6,55.9167,-98.9644,2001,2005
CA-NS7,56.6358,-99.9483,2001,2005
CA-Oas,53.6289,-106.1978,1996,2010
CA-Obs,53.9872,-105.1178,1997,2010
CA-Qfo,49.6925,-74.3421,2003,2010
CA-SF1,54.485,-105.8176,2003,2006
CA-SF2,54.2539,-105.8775,2001,2006
CA-SF3,54.0916,-106.0053,2001,2006
CA-TP1,42.6609,-80.5595,2002,2017
CA-TP2,42.7744,-80.4588,2002,2008
CA-TP3,42.7068,-80.3483,2002,2017
CA-TP4,42.7102,-80.3574,2002,2017
CA-TPD,42.6353,-80.5577,2012,2017
CL-SDF,-41.883,-73.676,2014,2022
CL-SDP,-41.879,-73.666,2014,2022
