Site ID,Latitude (degrees),Longitude (degrees),Start Year,End Year
US-ASH,36.1697,-120.201,2016,2017
US-ASL,36.9466,-120.1024,2016,2017
US-ASM,36.1777,-120.2026,2016,2017
US-Bi1,38.0992,-121.4993,2016,2023
US-Bi2,38.1091,-121.5351,2017,2023
US-Blo,38.8953,-120.6328,1997,2007
US-CGG,37.938,-121.9761,2019,2022
US-CMW,31.6637,-110.1777,2000,2021
US-Dia,37.6773,-121.5296,2010,2012
US-Dmg,38.0015,-121.6691,2021,2022
US-DPW,28.0521,-81.4361,2013,2017
US-DS3,38.1235,-121.549,2021,2022
US-EDN,37.6156,-122.114,2018,2019
US-Elm,25.5519,-80.7826,2008,2014
US-Esm,25.4379,-80.5946,2008,2015
US-Fmf,35.1426,-111.7273,2005,2010
US-Fuf,35.089,-111.762,2005,2010
US-Fwf,35.4454,-111.7718,2005,2010
US-Hsm,38.2368,-122.0212,2021,2022
US-KS1,28.4583,-80.6709,2002,2003
US-KS2,28.6086,-80.6715,1999,2006
US-KS3,28.7084,-80.7427,2018,2019
US-Lin,36.3566,-119.0922,2009,2010
US-LS1,31.5615,-110.1403,2002,2007
US-LS2,31.5659,-110.1344,2002,2007
US-MtB,32.416,-110.7256,2009,2021
US-Myb,38.0499,-121.765,2010,2021
US-ONA,27.3836,-81.9509,2016,2021
US-PAS,27.3944,-81.951,2021,2021
US-PSH,36.2347,-119.9247,2016,2017
US-PSL,36.8276,-120.1397,2016,2017
US-RGB,39.5782,-121.8579,2021,2023
US-RGo,39.6805,-122.0026,2021,2023
US-Snd,38.0366,-121.754,2007,2014
US-Sne,38.0369,-121.7547,2016,2020
US-Snf,38.0402,-121.7272,2018,2020
US-SP1,29.7381,-82.2188,2000,2011
US-SP2,29.7648,-82.2448,1999,2008
US-SP3,29.7548,-82.1633,1999,2010
US-SP4,29.8028,-82.2031,1998,1998
US-SRC,31.9083,-110.8395,2008,2014
US-SRG,31.7894,-110.8277,2008,2023
US-SRM,31.8214,-110.8661,2004,2023
US-Srr,38.2006,-122.0264,2014,2017
US-SRS,31.8173,-110.8508,2011,2018
US-SuM,20.7981,-156.454,2013,2014
US-SuS,20.7847,-156.4039,2011,2014
US-SuW,20.8246,-156.4913,2011,2013
US-Ton,38.4309,-120.966,2001,2022
US-Tw1,38.1074,-121.6469,2011,2020
US-Tw2,38.0969,-121.6365,2012,2013
US-Tw3,38.1152,-121.6469,2013,2018
US-Tw4,38.1027,-121.6413,2013,2021
US-Tw5,38.1072,-121.6426,2018,2020
US-Twt,38.1087,-121.6531,2009,2017
US-Var,38.4133,-120.9508,2000,2022
US-Whs,31.7438,-110.0522,2007,2023
US-Wkg,31.7365,-109.9419,2004,2023
US-xCL,33.4012,-97.57,2017,2022
US-xDS,28.125,-81.4362,2017,2022
US-xPU,19.5531,-155.3173,2019,2022
US-xSB,29.6893,-81.9934,2017,2022
US-xSJ,37.1088,-119.7323,2018,2022
US-xSP,37.0334,-119.2622,2017,2022
US-xSR,31.9107,-110.8355,2017,2022
US-xTE,37.0058,-119.006,2018,2022
